,正式名称,id,年,所属,ライセンス,順位,勝ち点,PPG,営業収入,スポンサー収入,入場料収入,物販収入,Jリーグ配分金,移籍補償金等収入,国外クラブからの収入,国内クラブからの収入,アカデミー関連収入,女子チーム関連収入,その他収入,営業費用,チーム人件費,トップチーム運営経費,試合関連経費,物販関連費,移籍関連費用,国外クラブからの移籍に関する費用,国内クラブからの移籍に関する費用,アカデミー運営経費,女子チーム運営経費,その他売上原価,販売費および一般管理費,営業利益,営業外収益,営業外費用,経常利益,特別利益,特別損失,税引前当期利益,法人税および住民税等,当期純利益,関連する法人の営業収入,流動資産,固定資産等,総資産(資産の部),流動負債,固定負債,総負債(負債の部),資本金,資本剰余金等,利益剰余金,純資産(純資産の部),リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,PO入場者数,POホーム試合数,ACL入場者数,ACLホーム試合数,年間総入場者数,年間ホーム試合数
札幌,北海道コンサドーレ札幌,1,2024,J1,J1,19,37,0.9737,5000,2059,1127,540,362,657,154,503,26,0,229,5342,2176,463,661,424,346,192,154,233,0,407,632,-342,104,16,-254,0,17,-271,2,-273,Null,1873,670,2543,1275,937,2212,2037,1126,-2832,331,324625,19,15852,2,0,0,0,0,340477,21
鹿島,鹿島アントラーズ,3,2024,J1,J1,5,65,1.7105,7200,2598,1238,720,480,964,499,465,259,0,941,7124,2475,464,437,493,311,166,145,422,0,365,2157,76,3,41,38,0,0,38,31,7,Null,3419,1852,5271,3512,193,3705,2257,834,-1526,1566,437507,19,0,0,0,0,0,0,437507,19
浦和,浦和レッズ,4,2024,J1,J1,13,48,1.2632,10211,4108,2012,1594,679,1192,1000,192,69,185,372,9882,3186,604,618,1168,784,404,380,268,494,160,2599,329,52,2,379,0,0,379,68,311,287,2074,3028,5102,3005,176,3181,273,113,1536,1921,712852,19,0,0,0,0,0,0,712852,19
FC東京,FC東京,7,2024,J1,J1,7,54,1.4211,6989,2989,1450,768,316,629,463,166,467,0,370,6893,2334,522,432,595,377,238,139,642,0,8,1983,96,23,28,91,0,1,90,18,72,Null,3109,490,3599,1272,45,1317,1762,575,-55,2282,631273,19,7265,1,0,0,0,0,638538,20
東京V,東京ヴェルディ,23,2024,J1,J1,6,56,1.4737,3683,873,726,346,308,78,2,76,245,438,669,3623,902,357,255,279,111,0,111,267,351,19,1083,60,1,27,34,0,0,34,0,34,Null,989,158,1147,752,344,1096,20,0,31,51,398548,19,6150,1,0,0,0,0,404698,20
町田,FC町田ゼルビア,24,2024,J1,J1,3,66,1.7368,5754,4043,687,321,320,81,33,48,49,0,253,5747,2478,427,651,253,747,229,518,192,0,15,984,7,17,4,20,0,0,20,17,3,Null,993,1841,2834,732,919,1651,100,1335,-252,1183,334585,19,16506,3,0,0,0,0,351091,22
川崎,川崎フロンターレ,8,2024,J1,J1,8,52,1.3684,8403,4029,1329,1221,452,183,120,63,256,0,933,9116,2744,680,319,1026,1316,1201,115,402,0,107,2522,-713,14,13,-712,0,0,-712,-63,-649,Null,1795,3834,5629,3473,153,3626,349,31,1623,2003,400449,19,36006,2,0,0,49856,4,486311,25
横浜FM,横浜F・マリノス,9,2024,J1,J1,9,52,1.3684,7333,2762,1741,1107,489,18,14,4,0,0,1216,7126,2366,902,636,687,542,420,122,0,0,104,1889,207,11,31,187,0,182,6,-3,9,1012,1830,691,2521,2222,204,2426,99,6,-10,95,472010,19,18525,2,0,0,116261,7,606796,28
新潟,アルビレックス新潟,11,2024,J1,J1,16,42,1.1053,4062,1338,1010,700,338,153,0,153,200,0,323,3631,970,340,672,547,112,0,112,297,0,213,480,431,58,12,477,0,12,466,131,335,320,2520,950,3470,1025,772,1797,100,612,959,1672,426176,19,28956,3,0,0,0,0,455132,22
磐田,ジュビロ磐田,13,2024,J1,J1,18,38,1.0000,4852,2849,614,469,308,196,107,89,139,0,277,4951,1948,418,427,357,343,33,310,438,0,3,1017,-99,75,12,-36,0,1,-37,-1,-36,Null,907,1039,1946,1167,85,1252,679,0,14,693,262530,19,0,0,0,0,0,0,262530,19
名古屋,名古屋グランパス,29,2024,J1,J1,11,50,1.3158,6874,2817,1310,824,471,649,252,397,240,0,564,6825,2719,575,454,513,368,41,326,350,0,985,861,49,172,17,205,0,0,205,34,170,Null,1397,860,2257,1264,197,1461,105,0,690,795,525358,19,52092,3,0,0,0,0,577450,22
京都,京都サンガF.C.,31,2024,J1,J1,14,47,1.2368,3720,2151,612,138,292,206,0,206,136,0,185,3676,1680,286,251,66,335,264,71,281,0,0,777,44,74,19,99,0,0,99,4,95,Null,1024,319,1343,583,29,612,50,556,125,731,257170,19,0,0,0,0,0,0,257170,19
G大阪,ガンバ大阪,14,2024,J1,J1,4,66,1.7368,7223,2263,1185,758,357,178,172,6,228,0,2254,7002,2548,576,431,594,725,423,302,411,0,201,1516,221,36,182,75,0,0,75,12,63,Null,1053,1798,2851,2026,47,2073,10,0,768,778,495832,19,0,0,0,0,0,0,495832,19
